项目	规则	公式	上线时间
血管瘤去除费（复杂）-累及重要器官或功能部位（加收）	存在单条项目的封顶价，存在单位换算	"1个复杂血管瘤：642元*1个=642元
2个复杂血管瘤：642元*2个=1284元
3个复杂血管瘤：642元*3个=1926元
（※单复杂血管瘤加收最高2000元）"	12月30
血管瘤去除费（复杂）-其他类型血管源性肿物去除（扩展）	存在单条项目的封顶价，存在单位换算		12月30
脉管畸形去除费（常规）	存在单条项目的封顶价，存在单位换算	"①一个（头面部）：
4平方厘米：813元*1数量=813元
8平方厘米：813元*2数量=1626元
12平方厘米：813元*3数量=2439元
一个（躯干部）：
144平方厘米：813元*1数量=813元
288平方厘米：813元*2数量=1626元
432平方厘米：813元*3数量=2439元
一个（1%体表）：
1%体表面积：813元*1数量=813元
2%体表面积：813元*2数量=1626元
3%体表面积：813元*3数量=2439元
（※单脉管畸形收费最高2500元）
②脉管畸形两个及以上按照实际开立数量情况相加计算"	12月30
"脉管畸形去除费（常规）-儿童
（加收）"	存在单条项目的封顶价，存在单位换算		12月30
脉管畸形去除费（常规）-累及重要器官或功能部位（加收）	存在单条项目的封顶价，存在单位换算	"1个脉管畸形：407元*1个=407元
2个脉管畸形：407元*2个=814元
3个脉管畸形：407元*3个=1221元
（单脉管畸形加收最高1300元）"	12月30
脉管畸形去除费（复杂）	存在单条项目的封顶价，存在单位换算	"①一个（头面部）：
4平方厘米：1284元*1数量=1284元
8平方厘米：1284元*2数量=2568元
12平方厘米：1284元*3数量=3852元
一个（躯干部）：
144平方厘米：1284元*1数量=1284元
288平方厘米：1284元*2数量=2568元
432平方厘米：1284元*3数量=3852元
一个（1%体表）：
1%体表面积：1284元*1数量=1284元
2%体表面积：1284元*2数量=2568元
3%体表面积：1284元*3数量=3852元
（※单复杂脉管畸形收费最高3900元）
②脉管畸形两个及以上按照实际开立数量情况相加计算
"	12月30
"脉管畸形去除费（复杂）-儿童
（加收）"	存在单条项目的封顶价，存在单位换算	按上方原项目的金额x30%	12月30
脉管畸形去除费（复杂）-累及重要器官或功能部位（加收）	存在单条项目的封顶价，存在单位换算	"1个复杂脉管畸形：642元*1个=642元
2个复杂脉管畸形：642元*2个=1284元
3个复杂脉管畸形：642元*3个=1926元
（※单复杂脉管畸形加收不超过2000元）"	12月30
神经纤维瘤去除费（常规）	存在单条项目的封顶价，存在单位换算	"①一个（头面部）：
4平方厘米：942元*1数量=942元
8平方厘米：942元*2数量=1884元
12平方厘米：942元*3数量=2826元
一个（躯干部）：
144平方厘米：942元*1数量=942元
288平方厘米：942元*2数量=1884元
432平方厘米：942元*3数量=2826元
一个（1%体表）：
1%体表面积：942元*1数量=942元
2%体表面积：942元*2数量=1884元
3%体表面积：942元*3数量=2826元
（※单神经纤维瘤收费最高2900元）
②神经纤维瘤两个及以上按照实际开立数量情况相加计算"	12月30
神经纤维瘤去除费（常规）-儿童（加收）	存在单条项目的封顶价，存在单位换算	按上方原项目的金额x30%	12月30
